country_name,year,gdp_growth,unemployment,inflation
Luxembourg,2013,3.17178989968683,6.045,1.73403963519162
Luxembourg,2014,2.62308679154881,6.044,0.628543985440717
Luxembourg,2015,2.26978423302835,6.796,0.474743161437779
Luxembourg,2016,4.97819011520116,6.669,0.290833333333317
Luxembourg,2017,1.31718713754285,5.523,1.73079959118887
Luxembourg,2018,1.61129561338169,5.589,1.5281952430738
Luxembourg,2019,2.74931929072659,5.592,1.74332075653848
Luxembourg,2020,-0.510051634039826,6.766,0.819957302127036
Mexico,1988,1.21826122938586,,114.162258549066
Mexico,1989,3.62544873456009,,20.0078767139978
Mexico,1990,5.25004329944582,,26.6516725646771
Mexico,1991,3.97590497138043,3.145,22.662359455061
Mexico,1992,3.56861354412243,3.235,15.5078962533573
Mexico,1993,2.86699945461075,3.365,9.75146045357553
Mexico,1994,4.39412788764169,4.436,6.96581237191123
Mexico,1995,-5.91029962358286,7.095,34.9992712889592
Mexico,1996,6.21829715869302,5.465,34.3783832235168
Mexico,1997,7.19887615284711,4.235,20.6256287259247
Mexico,1998,6.18507893082885,3.733,15.9283950119353
Mexico,1999,2.75503039300564,2.598,16.5856169707538
Mexico,2000,5.02928399378261,2.646,9.49156149435403
Mexico,2001,-0.450845253215945,2.627,6.36773806235037
Mexico,2002,-0.236588001922641,3.003,5.03072733151295
Mexico,2003,1.18554486709559,3.455,4.54690012118718
Mexico,2004,3.56544100946846,3.937,4.68840884843143
Mexico,2005,2.11324712586392,3.558,3.98805714597437
Mexico,2006,4.80501352746852,3.566,3.62946762439132
Mexico,2007,2.07786393438754,3.628,3.96684905458235
Mexico,2008,0.943331863036903,3.874,5.12498274575896
Mexico,2009,-6.29525055780502,5.356,5.29735584228856
Mexico,2010,4.9713345832195,5.303,4.15672722680174
Mexico,2011,3.44404505794418,5.175,3.40737824605742
Mexico,2012,3.55321075993527,4.892,4.11150981070289
Mexico,2013,0.852101559410627,4.921,3.80639069747204
Mexico,2014,2.50376350288664,4.819,4.01861608078679
Mexico,2015,2.70232342550646,4.311,2.72064064964023
Mexico,2016,1.77249323845399,3.853,2.8217078474766
Mexico,2017,1.87172853327193,3.419,6.04145724018986
Mexico,2018,1.97208209405635,3.275,4.89935015356551
Mexico,2019,-0.392690505066824,3.477,3.63596142127046
Mexico,2020,-8.35403458167995,4.44,3.39683415570006
Netherlands,1988,3.44121887987075,,0.737950688332319
Netherlands,1989,4.42011805714839,,1.08215810253299
Netherlands,1990,4.18322279220835,,2.45409184818341
Netherlands,1991,2.43913458059633,7.285,3.15820041477122
Netherlands,1992,1.70607086906817,5.555,3.18358181761551
Netherlands,1993,1.2575522529669,6.287,2.58418448671799
Netherlands,1994,2.96109249092605,7.159,2.80152463293178
Netherlands,1995,3.11603588982837,7.157,1.92322003453525
Netherlands,1996,3.42057733811352,6.421,1.94936713166008
Netherlands,1997,4.24847954297027,5.511,2.10924562739483
Netherlands,1998,4.64778462461781,4.394,1.95913632274251
Netherlands,1999,5.04332136430241,3.622,2.15717918055059
Netherlands,2000,4.2197537762102,2.725,2.36052233801948
Netherlands,2001,2.32357570819386,2.119,4.15584127195613
Netherlands,2002,0.245785659129112,2.554,3.28753104712771
Netherlands,2003,0.097832364227159,3.593,2.09199838997655
Netherlands,2004,2.01630996216733,4.646,1.2636473918318
Netherlands,2005,2.03396336199143,5.872,1.68813017869623
Netherlands,2006,3.53737509680782,5.007,1.10150106517702
Netherlands,2007,3.88530644801823,4.153,1.61385859802103
Netherlands,2008,2.11681593642137,3.658,2.48650198289454
Netherlands,2009,-3.66529049145096,4.352,1.1897768702155
Netherlands,2010,1.31932032302214,4.991,1.27530569556683
Netherlands,2011,1.77334516269423,4.977,2.34107017751373
Netherlands,2012,-0.977876877747732,5.821,2.45554765291604
Netherlands,2013,-0.0302325600539604,7.241,2.50689852657885
Netherlands,2014,1.61261001294011,7.419,0.976035079699679
Netherlands,2015,2.12060523860846,6.872,0.600248147278776
Netherlands,2016,2.42428572955482,6.007,0.316666666666743
Netherlands,2017,2.78154619309936,4.837,1.38145871407206
Netherlands,2018,2.2587403735731,3.832,1.7034979474447
Netherlands,2019,2.30009157916757,3.379,2.63369910249601
Netherlands,2020,-3.86795333823223,3.82,1.27246037789161
New Zealand,1988,-0.353677478990647,,6.37524944411053
New Zealand,1989,0.161414613910125,,5.7159915513563
New Zealand,1990,0.153140653942785,,6.09844414810204
New Zealand,1991,-1.09079322533503,10.614,2.60239285999773
New Zealand,1992,1.09383475591748,10.667,1.01456027171236
New Zealand,1993,6.39152850429893,9.804,1.28820776574386
New Zealand,1994,5.11924841488023,8.354,1.74537790773743
New Zealand,1995,4.72208114777668,6.461,3.75494413677554
New Zealand,1996,3.61187886151062,6.29,2.28571305402195
New Zealand,1997,2.07927288651346,6.857,1.18714833105632
New Zealand,1998,0.858406352198429,7.718,1.26524409915406
New Zealand,1999,5.37772890780957,7.023,-0.114267129777524
New Zealand,2000,2.87005108790095,6.13,2.6152344624632
New Zealand,2001,3.41099312247906,5.433,2.62581630392903
New Zealand,2002,4.71347767117496,5.282,2.67709257711605
New Zealand,2003,4.72804204913962,4.745,1.75357444759557
New Zealand,2004,4.08796484025709,4.005,2.29024902847571
New Zealand,2005,3.35292760405062,3.807,3.03702332617012
New Zealand,2006,2.77978059105617,3.857,3.36540196171993
New Zealand,2007,3.05641638984955,3.661,2.37614310290659
New Zealand,2008,-1.01703846933975,4.167,3.9589493731206
New Zealand,2009,-0.0374661120713,6.121,2.1156511055456
New Zealand,2010,1.45863634911349,6.557,2.30202385958572
New Zealand,2011,2.09349621669912,6.491,4.0279066739204
New Zealand,2012,2.36630664656174,6.931,1.05991318445632
New Zealand,2013,2.58954199031598,5.839,1.13442266445817
New Zealand,2014,3.82638491760299,5.428,1.227507505974
New Zealand,2015,3.69036908387233,5.415,0.292704628136101
New Zealand,2016,3.77911068354334,5.147,0.646240284454524
New Zealand,2017,3.37873219470765,4.736,1.85078767452536
New Zealand,2018,3.47058203866328,4.335,1.59829703801696
New Zealand,2019,2.31747144034802,4.109,1.61963190184048
New Zealand,2020,-0.307246896026541,4.595,1.71456170007245
Norway,1988,-0.255186919919623,,6.67636598771417
Norway,1989,1.03825236584341,,4.54614335505379
Norway,1990,1.93229130670601,,4.1310334831135
Norway,1991,3.08443862114596,5.407,3.43819599109134
Norway,1992,3.5744589537378,5.91,2.32808504911857
Norway,1993,2.8451826884301,5.965,2.28826933193057
Norway,1994,5.0552739968782,5.349,1.37567498071479
Norway,1995,4.1556430062232,6.307,2.46036778693724
Norway,1996,5.02791307591366,5.036,1.26253249164502
Norway,1997,5.28460660979037,4.687,2.56692335900259
Norway,1998,2.66868660973638,3.737,2.25241329996423
Norway,1999,2.0720471690145,3.247,2.36596736596734
Norway,2000,3.31894570142394,3.458,3.08550609131276
Norway,2001,2.06713043546189,3.738,3.00419703998237
Norway,2002,1.37755702173065,4.022,1.28672528415184
Norway,2003,0.944909363247831,4.221,2.48782553461783
Norway,2004,4.01458802387079,4.256,0.45449850222084
Norway,2005,2.68512290339085,4.381,1.53213367609254
Norway,2006,2.46147311635166,3.397,2.32934980757544
Norway,2007,2.91404000653228,2.493,0.712589073634201
Norway,2008,0.481919549757933,2.521,3.75393081761005
Norway,2009,-1.94036472596633,3.1,2.19738586853574
Norway,2010,0.787051861494078,3.527,2.41890639481001
Norway,2011,1.10565603382983,3.196,1.28495158809152
Norway,2012,2.71795924894734,3.129,0.696864111498362
Norway,2013,1.01619084044641,3.425,2.12048620353112
Norway,2014,2.04813200438943,3.486,2.04170286707211
Norway,2015,1.85733971623901,4.296,2.17113665389527
Norway,2016,1.16472423928819,4.68,3.54999999999998
